host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput,cka_avg_test,cka_avg_train,dist_avg_train,dist_avg_test,dist_norm_avg_train,dist_norm_avg_test,l2_norm_avg_train,l2_norm_avg_test,dist_0_train,dist_0_test,dist_11_train,dist_11_test,dist_15_train,dist_15_test,cka_0_train,cka_0_test,cka_11_train,cka_11_test,cka_15_train,cka_15_test,cka_high_mean_train,cka_mid_mean_train,cka_low_mean_train,cka_high_mean_test,cka_mid_mean_test,cka_low_mean_test,dist_intra_0_train,dist_intra_0_test,dist_inter_0_train,dist_inter_0_test,dist_intra_11_train,dist_intra_11_test,dist_inter_11_train,dist_inter_11_test,dist_intra_15_train,dist_intra_15_test,dist_inter_15_train,dist_inter_15_test,dist_intra_avg_train,dist_intra_avg_test,dist_inter_avg_train,dist_inter_avg_test,cka_avg_test_ft,cka_avg_train_ft,dist_avg_train_ft,dist_avg_test_ft,dist_norm_avg_train_ft,dist_norm_avg_test_ft,l2_norm_avg_train_ft,l2_norm_avg_test_ft,dist_0_train_ft,dist_0_test_ft,dist_11_train_ft,dist_11_test_ft,dist_15_train_ft,dist_15_test_ft,cka_0_train_ft,cka_0_test_ft,cka_11_train_ft,cka_11_test_ft,cka_15_train_ft,cka_15_test_ft,cka_high_mean_train_ft,cka_mid_mean_train_ft,cka_low_mean_train_ft,cka_high_mean_test_ft,cka_mid_mean_test_ft,cka_low_mean_test_ft,dist_intra_0_train_ft,dist_intra_0_test_ft,dist_inter_0_train_ft,dist_inter_0_test_ft,dist_intra_11_train_ft,dist_intra_11_test_ft,dist_inter_11_train_ft,dist_inter_11_test_ft,dist_intra_15_train_ft,dist_intra_15_test_ft,dist_inter_15_train_ft,dist_inter_15_test_ft,dist_intra_avg_train_ft,dist_intra_avg_test_ft,dist_inter_avg_train_ft,dist_inter_avg_test_ft,augreg,acc_in1k,cka_last_train,cka_last_test,dist_last_train,dist_last_test,dist_intra_last_train,dist_intra_last_test,dist_inter_last_train,dist_inter_last_test,cka_last_train_ft,cka_last_test_ft,dist_last_train_ft,dist_last_test_ft,dist_intra_last_train_ft,dist_intra_last_test_ft,dist_inter_last_train_ft,dist_inter_last_test_ft
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,6667,3333,88.9889,91.8392,93.9394,2.4815,90.72907290729071,99.7449,99.7599,99.8199,0.0466,479.7483,8.2129,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,6667,3333,88.7789,91.8992,94.2994,2.5281,90.6990699069907,99.97,99.94,99.985,0.0047,478.0679,8.2129,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,6667,3333,87.4887,90.429,92.4692,3.4685,89.26492649264927,99.97,99.985,100.0,0.0008,477.4863,8.2129,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,6667,3333,85.2085,88.8689,91.9892,4.2874,87.50675067506751,99.985,99.97,99.985,0.0054,477.9695,8.2129,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,6667,3333,70.117,75.3375,80.8881,4.8142,73.55985598559856,99.985,100.0,99.97,0.0013,477.9734,8.2129,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,6667,3333,,,,,,,,,,,,,,,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,6667,3333,91.3591,93.4293,95.0495,1.2668,92.63726372637264,100.0,100.0,100.0,0.0005,460.2808,7.8906,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,6667,3333,92.3792,94.4794,95.5596,1.2627,93.59135913591358,100.0,100.0,100.0,0.0001,460.2676,7.8906,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,6667,3333,91.2391,93.8794,95.4995,1.6355,92.8022802280228,100.0,100.0,100.0,0.0,460.4991,7.8906,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
camel.ee.nctu.edu.tw,23,aircraft,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,6667,3333,84.9685,89.1089,91.8992,4.1188,87.45724572457246,100.0,100.0,100.0,0.0,460.5395,7.8906,78.5317,86.7967,86.7967,,0.8678789734840393,0.8430510759353638,5.4730753898620605,5.439848899841309,0.719947338104248,0.7151522636413574,14.610944747924805,14.611106872558594,0.9748566746711732,0.9733489751815796,6.847609043121338,6.809671878814697,,,0.6339158415794373,0.6893987059593201,0.8219575881958008,0.8419415950775146,,,0.9714959859848022,0.9768235087394714,0.8935632705688477,0.9705542922019958,0.9801203012466432,0.9078437089920044,0.0034113335423171,0.0034016512800008,0.0036679953336715,0.0036535463295876,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,,,,,0.0607679486274719,0.0600624196231365,0.0786338225007057,0.078096680343151,0.7114574909210205,0.7001016139984131,15.307331085205078,15.087705612182615,0.7340006828308105,0.7297070026397705,19.07869911193848,18.98419570922852,2.137480497360229,2.112576961517334,29.0393180847168,28.611053466796875,,,0.5753668546676636,0.6127695441246033,0.5297589898109436,0.5160972476005554,,,0.8895359039306641,0.9569679498672484,0.9446471333503724,0.8875187635421753,0.9612669944763184,0.9518021941184998,0.0168106686323881,0.0164300799369812,0.0180230177938938,0.0176307801157236,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097,,,,,0.0678446814417839,0.0835718885064125,0.2566807866096496,0.2530801594257355,strong,83.79,0.8219575881958008,0.8419415950775146,6.847609043121338,6.809671878814697,0.1211210936307907,0.120094932615757,0.1875247657299041,0.1871119141578674,0.5297589898109436,0.5160972476005554,29.0393180847168,28.611053466796875,0.097278244793415,0.1853253692388534,0.8554031252861023,0.8427111506462097
