dataset_name,model_name,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft
aircraft,hideit3_base_patch16_224.fb_in1k,-0.06787778119494411,-0.0623333755353633,0.14948662813305855,0.14659013210899816,0.21484549180921336,0.212823581375506,0.0971053685897436,0.09196584556254368,0.03044682449828355,0.02702569371124483,0.5778522858651517,0.5188487818306243,0.31794460561039267,0.3553203110946028,0.8288344209628618,0.8178453464708471,0.20072115384615383,0.10940448113207546,0.05212179131996938,0.019806775563168077
aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,-0.04255561948545174,-0.03144232284794281,0.1558043996478454,0.14942348645738546,0.2476363060077885,0.24396383489496304,0.08266977163461539,0.07972626222921034,0.03190800948784902,0.02689166029669204,0.5909812639113802,0.5315633865946182,0.2822650601300606,0.3118851596130651,0.7883755097073304,0.7786665982839194,0.13462094907407407,0.0828649109014675,0.044747057633522234,0.021156126973014208
aircraft,hideit_base_patch16_224.fb_in1k,-0.041800517353774456,-0.05211578961447125,0.26715352999963904,0.262429957960985,0.3652668954842434,0.3635905308721464,0.1317844662571225,0.12141094514325648,0.04729938306487524,0.03892854933843672,0.5034271686038694,0.4382475381963683,0.33590378769458284,0.3709516340450339,0.8009934583403957,0.792141722128343,0.17664930555555555,0.11645975279524808,0.05223017978744629,0.027876728173321905
aircraft,hiresnet50.a1_in1k,-0.03897307812751972,-0.04054722189442887,0.05062404330091148,0.04975172155888659,0.06795827843050531,0.06780323898061966,0.07056707398504275,0.07375565055031447,0.011177810911948863,0.009984383605561168,-0.004329144600813373,-0.047949255752636165,0.05782576319945112,0.05698179925385461,0.06861998051571302,0.06791092442352122,0.07075070112179488,0.07406929703878407,0.009788665669755291,0.00949814184656683
aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,-0.04247766668439713,-0.1049501278534913,0.11185303920107802,0.1099694013910126,0.1210213206757211,0.12091187792457886,0.07390887920673077,0.07610431407232704,0.007693976880266117,0.006910493421667027,0.29435724698263876,0.24336661636482548,0.0664766260327941,0.06494473081756164,0.11416010423353884,0.10295487934176029,0.0722812750400641,0.07398904284591194,0.030144817518213626,0.018879871323423565
aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,-0.03199788571911157,-0.054309024243162606,0.07012368870600244,0.06817769917173686,0.07618357958124751,0.07541139796144028,0.07135896601228632,0.07439809355345911,0.0071874053145830445,0.006520663792232297,0.2648152302173157,0.18992753599696008,0.05377242103055426,0.05261609825769609,0.08595781406798146,0.07979823037400122,0.07097501836271367,0.07385596829140462,0.025346171719810136,0.01725447437954399
aircraft,hiresnet50.gluon_in1k,-0.0660799506794523,-0.08526771522187845,0.028192672027948392,0.027605932040702535,0.03415131003447735,0.03423922786384116,0.07485518496260685,0.07666936910377359,0.013023374387278007,0.011432287335958122,0.2655121086237274,0.22776022414299396,0.02988361836260453,0.02788372212239238,0.04897098714311596,0.043227499817027386,0.07307525373931624,0.07458276008909853,0.034682152649531,0.02226166497423963
aircraft,hiresnet50.in1k_mocov3,-0.01938618743403283,-0.029602270584086373,0.12107946837089338,0.11779854013382704,0.13616711871850565,0.1354113057409123,0.0718994140625,0.07479035639412998,0.011131672869221523,0.009851280740409526,0.08414278151040415,0.06227413992810981,0.06409249924720543,0.0618391474469932,0.07642219264121283,0.07354097331975934,0.07067662426549146,0.07381911687631026,0.02736098107953484,0.021245436496892065
aircraft,hiresnet50.in1k_spark,-0.03037956038460104,-0.04114821194869625,0.04120330379025844,0.040085772030366104,0.044653307559332694,0.044460850248607534,0.07036258012820512,0.07365533280922432,0.007245358867714037,0.006880475946192472,0.1812726507896548,0.15562260050254936,0.006491902398429655,0.006397945619372099,0.009253562239092664,0.008892490746437666,0.07033545339209402,0.07361848139412998,0.01950290494670089,0.013174841285876506
aircraft,hiresnet50.in1k_supcon,-0.03032805605741417,-0.05096039088601763,0.09924908839950806,0.09780764712759672,0.1296739643034917,0.13056255870068728,0.07403929620726496,0.07611741679769392,0.009572577734406175,0.00895788977449795,0.3189496876454628,0.2703372167805426,0.05468246679189467,0.05275079738969308,0.09035179647305054,0.08154858271905895,0.07213520799946581,0.07432275288259957,0.03147251069402465,0.021179107843704945
aircraft,hiresnet50.in1k_swav,-0.0214945884336323,-0.03087307686595298,0.1668625504210624,0.16460869142947487,0.17895677744660116,0.17997648083455045,0.07307838374732906,0.07563179703878406,0.011132142399079526,0.01011221912109627,0.1065619903742004,0.08045046128428052,0.08901164328693494,0.08471676127021494,0.11102036635225468,0.10433848028401307,0.07222910823985043,0.07453771947064988,0.023126064620625515,0.020655012917968466
aircraft,hiresnet50.in21k_miil,-0.13512297855367536,-0.17748940581187875,0.04483700149394217,0.04138806908714894,0.04817696438878152,0.044249885034544446,0.07301265357905984,0.0760256977201258,0.0005913619668437885,0.0008516951270823209,0.17342765244748062,0.13858254842306614,0.001596676423659543,0.0014791161634995155,0.002362226614776395,0.0020898902232242902,0.0705608139690171,0.07382894392033543,0.014800626856203262,0.01127781662738548
aircraft,hiresnet50.tv2_in1k,-0.047779196259008366,-0.052124488502696416,0.06055327365913054,0.05953679757148442,0.07855423386996889,0.07893186295000656,0.07130679921207266,0.07425723925576519,0.010995916878947845,0.009987567393284925,0.18613825273543497,0.1571257363611879,0.03386894265269961,0.03247701370560432,0.0498079760452942,0.046565755945187345,0.07096562833867522,0.07400132665094339,0.02222644548433331,0.017522415462529882
aircraft,hiresnet50.tv_in1k,-0.009343842348597916,-0.019480581773357708,0.16726650727388734,0.16060283058472585,0.18995019512371372,0.1864123420132005,0.08066552317040598,0.08096174004192871,0.01086842780932784,0.009871034478803851,0.4749282938086948,0.4037582590238123,0.07846919765156025,0.07816250274679126,0.1613199798776751,0.14331229725702138,0.07755951188568377,0.07509990828092243,0.036738257282055334,0.019289625422009883
aircraft,hivit_base_patch16_224.dino,-0.0152117915698435,-0.013582534544512515,0.33206236343148976,0.32286193670798674,0.378215318600804,0.37373594606469646,0.1553054331374644,0.1368836259608665,0.03936740459922033,0.02939335711347232,0.6488854095286315,0.5477708769495333,0.29594411294422696,0.3652070652908728,0.9034069499193986,0.8926309778578927,0.20802867922008547,0.1102976502445842,0.06781073263249336,0.031009686724194935
aircraft,hivit_base_patch16_224.in1k_mocov3,-0.013414209772604954,-0.024800000512863848,0.293765817939504,0.2891649221982583,0.3272101800561235,0.32573228518117087,0.1013816550925926,0.09636836128581412,0.02937682297749397,0.023458112054650888,0.301372460166882,0.26408510308075733,0.4422336238140328,0.4578582795652552,0.7400227750529909,0.7359203874573346,0.16771278490028493,0.1228462395178197,0.06437272258484976,0.03719279573023694
aircraft,hivit_base_patch16_224.mae,-0.04228182657309921,-0.03749432151938245,0.04358428703677701,0.04185514443157981,0.046350299692659275,0.045790785720173054,0.07102196848290598,0.07413576607267645,0.017830923963815738,0.015947868332922836,0.4759995169898109,0.3422216294996713,0.2168974317401207,0.26511493628148447,0.5031027988157005,0.49023478105822127,0.1914535478988604,0.1281408324598183,0.06193899711928307,0.03268664110006776
aircraft,hivit_base_patch16_224.orig_in21k,-0.0015720425653870391,0.007182414340931523,0.26856347030251804,0.26568717000907066,0.3479610157586014,0.34556202923049606,0.16032040153133903,0.146486285814116,0.04594144831674221,0.03808675415860782,0.4631995125511726,0.387561114898445,0.32017965031500656,0.34804161099737074,0.7329639998056982,0.7213339761579808,0.18789368545227916,0.1376217461565339,0.07226360403001308,0.047453331497480274
aircraft,hivit_base_patch16_224_miil.in21k,-0.03851548771197115,-0.0659226236034144,0.12202165200621946,0.11751560529421616,0.13402698268726526,0.13170378260675986,0.07793163506054131,0.07966074860237597,0.021048566135458455,0.018466060172836737,0.4923777744989943,0.42376984405518375,0.27817845343266856,0.3002571538809872,0.6446376872630258,0.6298580636071707,0.11804442663817664,0.08630000873515024,0.056244370503685415,0.03517390037857512
aircraft,hivit_base_patch16_clip_224.laion2b,0.06720115723808222,0.073005096811199,0.26768619606210975,0.2673453130481441,0.38954937137360385,0.3909869019497027,0.1113990718482906,0.1008418501048218,0.03313120077244747,0.029645421407507654,0.5947372195172979,0.49654602281475874,0.3373773213011124,0.4055348679023712,0.8669922927151255,0.8553058246210763,0.15659916978276353,0.10055249825296995,0.0673291692749048,0.03774212610046818
aircraft,hivit_base_patch16_siglip_224.v2_webli,-0.040424383043729736,-0.07812474345954976,0.4951925878617041,0.4787931861575069,0.5055722555171114,0.4935366278201691,0.2442985165153134,0.2344104865478686,0.024646614272242937,0.024831681319002832,0.21504239243961465,0.1948771330682103,0.16217044760723448,0.15614011033681843,0.2455676777443801,0.23625261689675509,0.18701867432336175,0.1716306887665968,0.04418142727361276,0.037563217979557105
cars,hideit3_base_patch16_224.fb_in1k,0.13689657273197198,0.1511214985997591,0.28193380934348117,0.27682306481957214,0.37255786471702007,0.37185751271610457,0.12979822834645668,0.11059287107834705,0.04571005944504825,0.03971217450483766,0.32131091423213015,0.30496014178457276,0.5548629573423515,0.5592003275205593,0.7640798419662536,0.7516621044773519,0.20547512941090695,0.11958768929413832,0.05665382081911632,0.02491202572035411
cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,0.16513110707326673,0.1841830686125604,0.33909910715415104,0.33029100520365207,0.4453426064960486,0.4446249969309545,0.11149387576552933,0.0936760517262084,0.04785032140144838,0.03891525851197974,0.2636811002268755,0.2474456496372686,0.654121815185353,0.6593378509622125,0.8300298739488021,0.8214194982191036,0.21304726232137647,0.1228963599469824,0.07310783722269254,0.03253614673854182
cars,hideit_base_patch16_224.fb_in1k,0.07529905786447498,0.08069446565512596,0.47464748355986935,0.4682136068970223,0.5396455514905776,0.5365742915535148,0.16647528433945755,0.145601798641581,0.05228367279677253,0.044867389061778944,0.24663146884160683,0.2098697843698884,0.6363183144653776,0.65701849997203,0.7973537365973596,0.7885138181201377,0.24639449365704288,0.16483396491124302,0.06998762504009437,0.03534549021373981
cars,hiresnet50.a1_in1k,0.06897434979369355,0.0763183330608041,0.06187691976954496,0.060918312107137114,0.07312165369850737,0.07272315464226708,0.07055172790901137,0.07049015229115586,0.029543880255907536,0.025890687864924232,0.03630395990505384,0.04946627682601687,0.0788255563968982,0.07553547136050814,0.08047207180552161,0.07667000992278308,0.07190251120953631,0.07174205693879857,0.019103258701525336,0.017113628752884413
cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0.028915530208252833,0.03617858274985494,0.1659447931113288,0.16514772081695447,0.16646465883529027,0.16649825599285592,0.07663751503718286,0.07417833819955263,0.023644873857732833,0.020781470965298393,0.12520348610331855,0.11386142350865563,0.13235894407554186,0.12929367472419212,0.1442075715407429,0.13796639296704627,0.07533884924540682,0.07115948848910614,0.04267725509804064,0.029800704015152796
cars,hiresnet50.fb_swsl_ig1b_ft_in1k,0.047362037414391725,0.05305551808215184,0.08851009851785042,0.08957013840897816,0.09662106829718645,0.09795138937173192,0.07239292842300962,0.07148845398734247,0.024229463101841337,0.021197693629397288,0.10774823802325233,0.09627283437655768,0.10579564829552952,0.10270564517526504,0.11334146164178158,0.10820010493283726,0.072307489884077,0.07078989064785243,0.037366550122424375,0.027619459444568274
cars,hiresnet50.gluon_in1k,0.04074037619965827,0.04695213918229066,0.04440131134299314,0.043650920753215826,0.0469585891149317,0.04642345539186758,0.07734323736876639,0.07483422130073236,0.033709499075656804,0.02891349011943454,0.11274536439500124,0.10093071557799316,0.05079069193881904,0.04869416435002519,0.055140248311348075,0.051520849166394815,0.07499367754811898,0.07189696183916205,0.04730020844795573,0.03353811930569392
cars,hiresnet50.in1k_mocov3,0.00911880962790745,0.013372460108572206,0.14217683535957024,0.14004721577884072,0.13845247358016954,0.13694849883400248,0.0732165559383202,0.0722200567042253,0.02560918024323118,0.022873451608040975,0.11093505004117314,0.09670067034299493,0.0965182269371902,0.09531269455396577,0.1075421801692328,0.10406380103827906,0.07168976924759406,0.0708514640329935,0.03632030169677546,0.029324272026618324
cars,hiresnet50.in1k_spark,0.003174384534662334,0.0015539746455441724,0.05826488000913786,0.0584575721069593,0.05414366834737666,0.05451872386900019,0.07041417186132982,0.070441496399401,0.025530294669190733,0.023821869776362463,0.1449849366851765,0.1205815637119266,0.01370628043104775,0.013382220653423744,0.01513488503909846,0.014311175631117024,0.07037572451881015,0.07041049441527403,0.03742674207241516,0.027014899939771683
