host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,img_per_class,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,100,3333,,,,,11.5212,,,4.1917,11.52115211521152,100.0,,,0.0029,19.3393,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,300,3333,,,,3.0,31.1731,,,3.016,31.173117311731172,100.0,,,0.0009,31.0587,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,500,3333,,,,5.0,45.1245,,,2.3337,45.12451245124512,100.0,,,0.0007,45.8773,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,100,3333,,,,,12.3012,,,4.2189,12.3012301230123,100.0,,,0.0008,19.0287,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,300,3333,,,,3.0,32.9133,,,2.9865,32.91329132913291,100.0,,,0.0002,31.0104,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,500,3333,,,,5.0,47.4347,,,2.3174,47.434743474347435,100.0,,,0.0002,45.9141,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,100,3333,,,,,13.6514,,,4.2921,13.651365136513652,100.0,,,0.0002,19.4516,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,300,3333,,,,3.0,26.8227,,,4.3688,26.822682268226824,100.0,,,0.0,31.1148,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,500,3333,,,,5.0,37.3237,,,4.0734,37.32373237323733,100.0,,,0.0,45.5537,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,100,3333,,,,,10.051,,,4.2673,10.051005100510052,100.0,,,0.0134,19.4586,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,300,3333,,,,3.0,25.5926,,,3.3737,25.592559255925593,100.0,,,0.0033,31.9685,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,500,3333,,,,5.0,41.2241,,,2.6398,41.22412241224122,100.0,,,0.0011,47.3195,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,100,3333,,,,,10.471,,,4.2518,10.471047104710472,100.0,,,0.0094,19.5932,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,300,3333,,,,3.0,27.1827,,,3.277,27.182718271827184,100.0,,,0.0018,31.9387,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,500,3333,,,,5.0,41.7642,,,2.5934,41.76417641764176,100.0,,,0.0007,47.2824,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,100,3333,,,,,11.1011,,,4.2215,11.1011101110111,100.0,,,0.0027,19.3251,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,300,3333,,,,3.0,33.3333,,,3.0218,33.333333333333336,100.0,,,0.0003,31.8148,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,500,3333,,,,5.0,42.9043,,,2.7011,42.9042904290429,100.0,,,0.0009,47.2297,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,100,3333,,,,,12.7213,,,4.2199,12.72127212721272,100.0,,,0.0015,19.6106,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,300,3333,,,,3.0,36.4536,,,2.9853,36.453645364536456,100.0,,,0.0002,31.7766,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,500,3333,,,,5.0,49.1149,,,2.6282,49.114911491149115,100.0,,,0.0,47.1435,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,100,3333,,,,,8.2808,,,6.1524,8.28082808280828,100.0,,,0.0001,19.5022,0.4121,78.5244,86.7906,86.7906,
