serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
23,ft_448,cars,hiresnet50.in1k_mocov3,93.26,0.46,94.01591235163689,92.49753549643442,0.4971628285387403,93.26\pm{0.46},93.26+-0.46
23,ft_448,cars,hiresnet50.in1k_supcon,92.58,2.48,94.8117119275906,86.59170531513796,2.67530327569991,92.58\pm{2.48},92.58+-2.48
23,ft_448,cars,hiresnet50.in1k_swav,93.04,0.67,94.1417916106782,91.67589275693776,0.7172903048053136,93.04\pm{0.67},93.04+-0.67
23,ft_448,cars,hiresnet50.in1k_spark,88.98,4.61,92.81159666465462,79.00946672692693,5.181227477754176,88.98\pm{4.61},88.98+-4.61
23,ft_448,cub,hivit_base_patch16_224.orig_in21k,82.91,15.11,92.57763560875586,46.417024343083305,18.223488227035926,82.91\pm{15.11},82.91+-15.11
23,ft_448,cub,hideit_base_patch16_224.fb_in1k,81.66,13.4,90.19785545426166,46.90227698113312,16.40864570668113,81.66\pm{13.4},81.66+-13.4
23,ft_448,cub,hivit_base_patch16_224_miil.in21k,82.95,12.58,91.77325905215864,54.306144424717424,15.169811027925062,82.95\pm{12.58},82.95+-12.58
23,ft_448,cub,hideit3_base_patch16_224.fb_in1k,83.89,9.75,90.68592732968712,59.20116565151201,11.61902323353745,83.89\pm{9.75},83.89+-9.75
23,ft_448,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k,82.85,17.61,92.53349047716624,36.81607707932509,21.25789196180986,82.85\pm{17.61},82.85+-17.61
23,ft_448,cub,hivit_base_patch16_224.in1k_mocov3,81.39,13.37,89.81533307570545,46.20888211049485,16.43092341051555,81.39\pm{13.37},81.39+-13.37
23,ft_448,cub,hivit_base_patch16_224.dino,74.92,18.82,88.02408591385235,31.214940032758165,25.120857649903215,74.92\pm{18.82},74.92+-18.82
23,ft_448,cub,hivit_base_patch16_clip_224.laion2b,56.42,29.77,83.22498751971747,13.447349710581216,52.75398156468547,56.42\pm{29.77},56.42+-29.77
23,ft_448,cub,hivit_base_patch16_siglip_224.v2_webli,77.18,20.53,89.70510777050583,27.49175888781773,26.604502890555835,77.18\pm{20.53},77.18+-20.53
23,ft_448,cub,hivit_base_patch16_224.mae,71.71,20.26,87.62464811104219,39.01755766028052,28.25860954510887,71.71\pm{20.26},71.71+-20.26
23,ft_448,cub,hiresnet50.tv_in1k,85.54,2.73,88.74209754011224,79.17064912596764,3.1902927130800602,85.54\pm{2.73},85.54+-2.73
23,ft_448,cub,hiresnet50.tv2_in1k,86.34,1.75,88.94508263115985,83.12397630740413,2.0216953291971698,86.34\pm{1.75},86.34+-1.75
23,ft_448,cub,hiresnet50.gluon_in1k,84.45,2.88,87.4383721585869,77.13949173963448,3.4109250603886103,84.45\pm{2.88},84.45+-2.88
