method,Aircraft,Cars,CUB,Average
ViT,45.23,40.35,85.09,56.89
DeiT,50.35,52.67,70.47,57.83
ViT IN21k-P,32.86,16.7,40.1,29.89
DeiT 3 (IN21k),58.29,59.47,83.69,67.15
DeiT 3 (IN1k),52.56,56.74,72.8,60.7
ViT MoCo v3,52.72,52.23,66.08,57.01
ViT DINO,62.21,61.84,76.73,66.93
ViT CLIP,65.43,90.66,79.32,78.47
ViT SigLIP v2,35.88,31.13,43.64,36.88
ViT MAE,30.03,18.6,24.42,24.35
RN TV1,49.68,47.2,50.6,49.16
RN TV2,43.36,38.29,40.77,40.81
RN Gluon,46.5,43.42,46.85,45.59
RN A1,41.01,36.54,35.84,37.8
RN IN21k-P,52.46,45.72,64.96,54.38
RN IG1b,56.17,53.85,61.62,57.22
RN YFCC100m,54.91,50.17,60.23,55.11
RN MoCo v3,53.14,51.46,43.7,49.43
RN SupCon,50.1,51.72,44.37,48.73
RN SwAV,46.2,43.16,36.95,42.1
RN SparK,26.79,21.2,19.33,22.44
