serial,dataset_name,setting,method,ada_ratio,mean,std
23,aircraft,,hideit3_base_patch16_224.fb_in1k,7.788100080544363,86.72532222222223,6.754254889841248
23,aircraft,,hideit3_base_patch16_224.fb_in22k_ft_in1k,11.817543266895624,86.0686,10.171194044211328
23,aircraft,,hideit_base_patch16_224.fb_in1k,4.9279160680298295,87.07538888888888,4.291002080355017
23,aircraft,,hiresnet50.a1_in1k,2.689227803486292,89.73898,2.4132856007250028
23,aircraft,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,1.5874382269141927,91.24214,1.4484126094145655
23,aircraft,,hiresnet50.fb_swsl_ig1b_ft_in1k,1.7292704627925057,91.50914,1.582440528775442
23,aircraft,,hiresnet50.gluon_in1k,1.4669176829856034,91.23912,1.3384027850804543
23,aircraft,,hiresnet50.in1k_mocov3,1.2068952185115418,91.86321000000001,1.1086926890612168
23,aircraft,,hiresnet50.in1k_spark,2.5965454964895285,87.70477,2.277294255641499
23,aircraft,,hiresnet50.in1k_supcon,1.4238697702511183,91.70416,1.305747812302718
23,aircraft,,hiresnet50.in1k_swav,1.4711472738019589,91.58116,1.34729373865621
23,aircraft,,hiresnet50.in21k_miil,1.1274751810801678,91.48814999999999,1.0315061848793954
23,aircraft,,hiresnet50.tv2_in1k,1.1173102640792167,91.72817,1.024888258462033
23,aircraft,,hiresnet50.tv_in1k,1.2954427373288386,91.71018000000001,1.188052866201205
23,aircraft,,hivit_base_patch16_224.dino,42.18060215404077,67.7917625,28.594973633337204
23,aircraft,,hivit_base_patch16_224.in1k_mocov3,14.903425759837788,82.58025,12.307286251038446
23,aircraft,,hivit_base_patch16_224.mae,26.304859474241677,74.50744444444445,19.5990785589598
23,aircraft,,hivit_base_patch16_224.orig_in21k,6.249338693064895,83.99838888888888,5.249343818384457
23,aircraft,,hivit_base_patch16_224_miil.in21k,7.937745013398058,83.88839999999999,6.658847287819416
23,aircraft,,hivit_base_patch16_clip_224.laion2b,42.55173060273922,63.9476625,27.21083707374889
23,aircraft,,hivit_base_patch16_siglip_224.v2_webli,27.791984563567667,77.57062857142857,21.558417118433837
23,cars,,hideit3_base_patch16_224.fb_in1k,19.92654477301384,85.11378888888889,16.960237250952925
23,cars,,hideit3_base_patch16_224.fb_in22k_ft_in1k,20.02771908538173,85.23953333333333,17.07153428569032
23,cars,,hideit_base_patch16_224.fb_in1k,15.237107554325046,86.64621111111111,13.20237637874754
23,cars,,hiresnet50.a1_in1k,1.595795563553122,91.66396,1.4627694070571085
23,cars,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,2.5097741860702967,92.14651,2.3126693213446847
23,cars,,hiresnet50.fb_swsl_ig1b_ft_in1k,4.915430441313748,91.02847,4.474441124642152
23,cars,,hiresnet50.gluon_in1k,2.513915849310473,92.21488,2.318204483742633
23,cars,,hiresnet50.in1k_mocov3,0.4896036559212906,93.10782,0.45585929066861464
23,cars,,hiresnet50.in1k_spark,42.24364415058866,62.42508,26.370628655920292
23,cars,,hiresnet50.in1k_supcon,2.7302923376937263,92.38279,2.522320236717686
23,cars,,hiresnet50.in1k_swav,0.709909062348116,92.87526,0.6593298874193748
23,cars,,hiresnet50.in21k_miil,42.30716819461196,62.68002,26.518141485816415
23,cars,,hiresnet50.tv2_in1k,0.7135715157337429,93.00709,0.6636721018528464
23,cars,,hiresnet50.tv_in1k,2.3921078592034344,92.53699,2.213584610460296
23,cars,,hivit_base_patch16_224.dino,57.09805594821932,61.5393125,35.13775108139952
23,cars,,hivit_base_patch16_224.in1k_mocov3,27.178262799331055,80.43153,21.859892596922794
23,cars,,hivit_base_patch16_224.mae,26.659058588400526,81.833725,21.816100692820566
23,cars,,hivit_base_patch16_224.orig_in21k,7.620677201298237,86.04513333333334,6.557221858760004
23,cars,,hivit_base_patch16_224_miil.in21k,27.390190824909226,78.03631,21.374294221717722
23,cars,,hivit_base_patch16_clip_224.laion2b,54.79721640027344,63.3923,34.73721581211054
23,cars,,hivit_base_patch16_siglip_224.v2_webli,36.78289869632398,78.4324125,28.84971483495795
23,cub,,hideit3_base_patch16_224.fb_in1k,12.928256697625995,81.43673333333334,10.528349931494487
23,cub,,hideit3_base_patch16_224.fb_in22k_ft_in1k,23.42890738926784,80.40886666666667,18.838918904093195
23,cub,,hideit_base_patch16_224.fb_in1k,18.20708057356314,79.05248,14.393148728999886
23,cub,,hiresnet50.a1_in1k,2.986659410706089,82.65792,2.4687105463739107
23,cub,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,6.504872048774877,81.7639,5.318637077088242
23,cub,,hiresnet50.fb_swsl_ig1b_ft_in1k,6.190468235853482,81.39108,5.038488954218096
23,cub,,hiresnet50.gluon_in1k,3.8466051598565336,81.95549,3.152504107125705
23,cub,,hiresnet50.in1k_mocov3,1.8564834503693128,83.83500000000001,1.5563829006171135
23,cub,,hiresnet50.in1k_spark,9.920782712592455,71.86055999999999,7.129130013652127
23,cub,,hiresnet50.in1k_supcon,5.561346532319712,81.17363,4.514346857163034
23,cub,,hiresnet50.in1k_swav,1.796935179409821,84.98274,1.5270847514863817
23,cub,,hiresnet50.in21k_miil,51.08369523671941,48.94375,25.002276087421855
23,cub,,hiresnet50.tv2_in1k,2.329648885965421,84.01277,1.9572025603736918
23,cub,,hiresnet50.tv_in1k,3.6283464861607664,83.17224999999999,3.0177774103358472
23,cub,,hivit_base_patch16_224.dino,27.80909941883065,71.8717625,19.986889887690847
23,cub,,hivit_base_patch16_224.in1k_mocov3,18.29697086118703,78.70556,14.400733379334076
23,cub,,hivit_base_patch16_224.mae,31.630428771488106,68.41387,21.63960042016847
23,cub,,hivit_base_patch16_224.orig_in21k,20.187027786324446,80.46426,16.243342524260346
23,cub,,hivit_base_patch16_224_miil.in21k,16.952320058275124,80.40387,13.630321381639456
23,cub,,hivit_base_patch16_clip_224.laion2b,60.22236069745617,52.197677777777784,31.434673787029258
23,cub,,hivit_base_patch16_siglip_224.v2_webli,29.441411671830174,74.2427625,21.858117344164157
23,aircraft,,all_mean,10.007846942575279,85.5077632388511,7.545773908825209
23,cars,,all_mean,18.849473556563094,82.98948222222222,13.692283791415331
23,cub,,all_mean,16.895700345932216,76.80699679894181,11.601744645463341
23,aircraft,,all_std,13.287485711694814,8.165490783768377,9.021663430646278
23,cars,,all_std,18.802571501623586,11.299721176487875,12.221875075104549
23,cub,,all_std,16.152929363978444,9.775628340882442,9.001936988046362
23,all_mean,,hideit3_base_patch16_224.fb_in1k,13.547633850394734,84.42528148148149,11.414280690762887
23,all_mean,,hideit3_base_patch16_224.fb_in22k_ft_in1k,18.42472324718173,83.90566666666666,15.36054907799828
23,all_mean,,hideit_base_patch16_224.fb_in1k,12.790701398639337,84.25802666666667,10.628842396034146
23,all_mean,,hiresnet50.a1_in1k,2.423894259248501,88.02028666666666,2.1149218513853407
