serial,dataset_name,setting,model_name,ada_ratio,mean,std
24,aircraft,,hideit3_base_patch16_224.fb_in1k,10.620548075394929,46.21063,4.907822175092872
24,aircraft,,hideit3_base_patch16_224.fb_in22k_ft_in1k,9.109230573952342,51.81518,4.719964218508439
24,aircraft,,hideit_base_patch16_224.fb_in1k,9.100842864859622,43.51635,3.96035463402234
24,aircraft,,hiresnet50.a1_in1k,10.992580857203155,33.75638,3.710697365964754
24,aircraft,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,6.625579280410693,48.46686,3.2112102340256574
24,aircraft,,hiresnet50.fb_swsl_ig1b_ft_in1k,6.308867206574742,48.442840000000004,3.056194446693472
24,aircraft,,hiresnet50.gluon_in1k,7.628242634633672,40.34505,3.0776183050642727
24,aircraft,,hiresnet50.in1k_mocov3,4.979090006496812,45.24152,2.2526160011072567
24,aircraft,,hiresnet50.in1k_spark,15.304456268383065,21.074109999999997,3.225277948900942
24,aircraft,,hiresnet50.in1k_supcon,6.546500255487037,42.93429,2.810693404541545
24,aircraft,,hiresnet50.in1k_swav,7.586394400615883,38.22983,2.900265682484971
24,aircraft,,hiresnet50.in21k_miil,6.5635761670362625,45.8506,3.0094390540431286
24,aircraft,,hiresnet50.tv2_in1k,6.667864045068052,35.94057,2.396468344622515
24,aircraft,,hiresnet50.tv_in1k,7.38195442208429,43.96939,3.2458003294684876
24,aircraft,,hivit_base_patch16_224.dino,5.763671799779335,55.70657,3.210743865714335
24,aircraft,,hivit_base_patch16_224.in1k_mocov3,11.201578099791421,45.87759,5.139014074152098
24,aircraft,,hivit_base_patch16_224.mae,27.036218107940087,23.26132,6.288981209985889
24,aircraft,,hivit_base_patch16_224.orig_in21k,7.3987326649705185,38.9469,2.881577012293403
24,aircraft,,hivit_base_patch16_224_miil.in21k,11.604942917220505,27.33575,3.1722981834941044
24,aircraft,,hivit_base_patch16_clip_224.laion2b,4.460405084331595,60.080999999999996,2.679855978717265
24,aircraft,,hivit_base_patch16_siglip_224.v2_webli,7.44589602340133,30.74108,2.2889488532706217
24,cars,,hideit3_base_patch16_224.fb_in1k,8.334156640663783,55.774159999999995,4.648305859414443
24,cars,,hideit3_base_patch16_224.fb_in22k_ft_in1k,7.8135820057834104,58.4119,4.5640617076362
24,cars,,hideit_base_patch16_224.fb_in1k,6.472945161209191,51.668949999999995,3.3445027988725964
24,cars,,hiresnet50.a1_in1k,11.454928558802974,35.338890000000006,4.048044602973969
24,cars,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,8.294583346613894,49.27124,4.086844067710164
24,cars,,hiresnet50.fb_swsl_ig1b_ft_in1k,8.714210936930982,53.00834,4.61925856176556
24,cars,,hiresnet50.gluon_in1k,8.047974030432059,42.37906,3.4106557431412208
24,cars,,hiresnet50.in1k_mocov3,7.082198883732792,50.75116,3.594298087001443
24,cars,,hiresnet50.in1k_spark,15.543249559756378,19.67416,3.0580037875857657
24,cars,,hiresnet50.in1k_supcon,7.629914766234832,50.929,3.885839291295738
24,cars,,hiresnet50.in1k_swav,9.869987802179475,42.26713,4.171760575331342
24,cars,,hiresnet50.in21k_miil,9.582388862890834,45.11006,4.322621365483372
24,cars,,hiresnet50.tv2_in1k,8.12183538980947,37.15583,3.017735350317444
24,cars,,hiresnet50.tv_in1k,8.651457700061316,46.27657000000001,4.003597878589265
24,cars,,hivit_base_patch16_224.dino,7.657425915677842,61.290890000000005,4.693304494809599
24,cars,,hivit_base_patch16_224.in1k_mocov3,10.350145990686684,51.35182999999999,5.314989373889241
24,cars,,hivit_base_patch16_224.mae,26.424336499040052,17.012809999999998,4.495522162342335
24,cars,,hivit_base_patch16_224.orig_in21k,6.444493893842365,38.993900000000004,2.5129595044709983
24,cars,,hivit_base_patch16_224_miil.in21k,10.905201806846975,15.38366,1.6776191682791957
24,cars,,hivit_base_patch16_clip_224.laion2b,0.4947076663607474,90.54347,0.4479254874790435
24,cars,,hivit_base_patch16_siglip_224.v2_webli,7.210750958369852,29.9627,2.160535677403484
24,cub,,hideit3_base_patch16_224.fb_in1k,3.677631997217438,68.67796000000001,2.5257226319961936
24,cub,,hideit3_base_patch16_224.fb_in22k_ft_in1k,2.060031929412719,80.51433,1.658620905752724
24,cub,,hideit_base_patch16_224.fb_in1k,3.0678400459602964,66.22196,2.0315838080998088
24,cub,,hiresnet50.a1_in1k,13.90662005761325,27.59407,3.8374024733318404
24,cub,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,6.916006039948011,54.38901,3.761547216667928
24,cub,,hiresnet50.fb_swsl_ig1b_ft_in1k,7.164755316593813,55.85088,4.00157889416443
24,cub,,hiresnet50.gluon_in1k,8.457471935951329,39.867110000000004,3.3717496399248463
24,cub,,hiresnet50.in1k_mocov3,8.769264901874934,36.70348,3.218625389406686
24,cub,,hiresnet50.in1k_spark,11.239039702286755,11.5775,1.3011998215322491
24,cub,,hiresnet50.in1k_supcon,8.700182013213098,36.8174,3.203180812532719
