serial,method,setting,ada_ratio,mean,std,dataset_name
23,hideit3_base_patch16_224.fb_in1k,,13.547633850394734,84.42528148148149,11.414280690762887,all_mean
23,hideit3_base_patch16_224.fb_in22k_ft_in1k,,18.42472324718173,83.90566666666666,15.36054907799828,all_mean
23,hideit_base_patch16_224.fb_in1k,,12.790701398639337,84.25802666666667,10.628842396034146,all_mean
23,hiresnet50.a1_in1k,,2.423894259248501,88.02028666666666,2.1149218513853407,all_mean
23,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,3.5340281539197895,88.38418333333334,3.0265730026158306,all_mean
23,hiresnet50.fb_swsl_ig1b_ft_in1k,,4.278389713319911,87.97623,3.698456869211897,all_mean
23,hiresnet50.gluon_in1k,,2.6091462307175366,88.46983,2.269703791982931,all_mean
23,hiresnet50.in1k_mocov3,,1.184327441600715,89.60201,1.040311626782315,all_mean
23,hiresnet50.in1k_spark,,18.253657453223546,73.99680333333333,11.92568430840464,all_mean
23,hiresnet50.in1k_supcon,,3.2385028800881854,88.42019333333333,2.7808049687278125,all_mean
23,hiresnet50.in1k_swav,,1.3259971718532986,89.81305333333334,1.1779027925206556,all_mean
23,hiresnet50.in21k_miil,,31.506112870803843,67.70397333333334,17.517307919372556,all_mean
23,hiresnet50.tv2_in1k,,1.3868435552594605,89.58267666666667,1.2152543068961903,all_mean
23,hiresnet50.tv_in1k,,2.43863236089768,89.13980666666667,2.1398049623324495,all_mean
23,hivit_base_patch16_224.dino,,42.36258584036358,67.06761250000001,27.90653820080919,all_mean
23,hivit_base_patch16_224.in1k_mocov3,,20.12621980678529,80.57244666666666,16.189304075765104,all_mean
23,hivit_base_patch16_224.mae,,28.198115611376767,74.91834648148148,21.018259890649613,all_mean
23,hivit_base_patch16_224.orig_in21k,,11.352347893562525,83.50259407407407,9.349969400468268,all_mean
23,hivit_base_patch16_224_miil.in21k,,17.42675196552747,80.77619333333332,13.887820963725531,all_mean
23,hivit_base_patch16_clip_224.laion2b,,52.52376923348961,59.84588009259259,31.127575557629566,all_mean
23,hivit_base_patch16_siglip_224.v2_webli,,31.33876497724061,76.74860119047618,24.088749765851983,all_mean
