serial,model_name,setting,ada_ratio,mean,std,dataset_name
24,hideit3_base_patch16_224.fb_in1k,,7.544112237758717,56.88758333333334,4.02728355550117,all_mean
24,hideit3_base_patch16_224.fb_in22k_ft_in1k,,6.327614836382824,63.58047,3.6475489439657878,all_mean
24,hideit_base_patch16_224.fb_in1k,,6.2138760240097035,53.802420000000005,3.1121470803315816,all_mean
24,hiresnet50.a1_in1k,,12.118043157873126,32.22978,3.8653814807568545,all_mean
24,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,7.278722888990867,50.70903666666666,3.6865338394679164,all_mean
24,hiresnet50.fb_swsl_ig1b_ft_in1k,,7.395944486699846,52.43402,3.8923439675411537,all_mean
24,hiresnet50.gluon_in1k,,8.044562867005686,40.86374,3.2866745627101133,all_mean
24,hiresnet50.in1k_mocov3,,6.943517930701513,44.23205333333333,3.0218464925051287,all_mean
24,hiresnet50.in1k_spark,,14.028915176808733,17.44192333333333,2.5281605193396524,all_mean
24,hiresnet50.in1k_supcon,,7.625532344978322,43.56023,3.299904502790001,all_mean
24,hiresnet50.in1k_swav,,8.942759186212463,36.6022,3.2729650159301102,all_mean
24,hiresnet50.in21k_miil,,7.268097002862059,50.11656333333334,3.5641617774967114,all_mean
24,hiresnet50.tv2_in1k,,7.876107393699928,35.40965,2.780888265214474,all_mean
24,hiresnet50.tv_in1k,,8.366582939432297,44.76441333333333,3.747624306118086,all_mean
24,hivit_base_patch16_224.dino,,5.544602658029583,63.40141,3.418656590108918,all_mean
24,hivit_base_patch16_224.in1k_mocov3,,9.362734037229675,52.798136666666664,4.817346525355732,all_mean
24,hivit_base_patch16_224.mae,,27.349775959374536,18.825129999999998,5.138748286932227,all_mean
24,hivit_base_patch16_224.orig_in21k,,4.936279098386335,53.40864333333334,2.0630301888202554,all_mean
24,hivit_base_patch16_224_miil.in21k,,9.885992551535866,25.397896666666668,2.4142009869581678,all_mean
24,hivit_base_patch16_clip_224.laion2b,,2.102657701935898,75.64596333333333,1.386731823669659,all_mean
24,hivit_base_patch16_siglip_224.v2_webli,,7.122239746196752,32.62615,2.314643916302716,all_mean
