serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,abs_dif_acc_max,rel_dif_acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
86,soygene,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1.0,70.0,74.6926,-2.5486999999999966,-3.2996596380433743,0.03,49.5219,2.2797000000000054,4.825558504896058,23.3937,-7.410900000000002,-24.05777059270369,47.23920786255346,-17.966389140906756,-27.553446278474144,-69.70882051762419,22.052818716726364,-24.03272097221972
86,cotton,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1.0,90.0,72.5,3.333299999999994,4.819226593143802,0.0001,60.5417,-0.7916000000000025,-1.2906528753548276,10.5007,3.8144,57.0479936586752,17.344573062936757,6.442961149130461,59.10099533969654,-31.328631626014904,-11.378686184394144,57.03617695442542
86,soyageing,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1.0,90.0,87.8182,-0.9292999999999978,-1.0471280881151557,0.03,75.804,-6.608999999999995,-8.01936587674274,17.5251,9.084099999999998,107.61876554910552,23.11897484334316,12.876658645513242,125.72018278679457,-52.34416106507992,-27.123577254494712,107.54539806929769
86,soyageing_r1,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1.0,90.0,86.1616,-1.2120999999999924,-1.3872595529318232,5e-05,79.3232,-2.2728000000000037,-2.7854306583656108,10.2682,1.6913999999999998,19.72064173118179,12.944777351292336,2.4335009172736353,23.151335925272136,-30.675202643980864,-5.049984664547079,19.70708958885767
86,soygene,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1.0,90.0,81.2259,0.9153999999999911,1.1398260501428719,0.03,58.8845,-0.6146999999999991,-1.0331231344286966,30.3789,0.05620000000000047,0.18533969600332578,51.59063448920625,0.627435139941845,1.2311533576254985,-90.62077062968828,-0.16226903464891507,0.17938505700144575
86,soyglobal,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1.0,90.0,63.8459,-3.784000000000006,-5.595158354514801,0.03,40.0206,-4.8917,-10.891671101235074,18.4832,-1.9766000000000012,-9.660896000938433,46.18418654465757,0.6291616664379447,1.3811026733491127,-54.98777923645096,5.93608516340128,-9.743448190419906
86,cotton,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1.0,90.0,67.5,1.25,1.8867924528301887,0.1,57.5417,0.75,1.3206155124780559,10.372,3.1470000000000002,43.557093425605544,18.02523400214478,5.303274075432286,41.685983181702376,-30.93580425113418,-9.38798335306889,43.56813339724671
86,soyageing,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1.0,90.0,87.5354,-0.04040000000000532,-0.046131465541856674,0.03,73.8141,-3.113200000000006,-4.046937823113519,21.2815,3.0680000000000014,16.84464820051062,28.83116041569986,5.154950986317008,21.772703952853057,-63.55610773445082,-9.1524780653614,16.823285727499126
86,soyageing_r1,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1.0,90.0,84.2424,-0.5050999999999988,-0.59600578188147,0.1,77.8283,-2.070700000000002,-2.591646954279781,7.4174,3.0866,71.27089683199408,9.530434544183736,4.110151730054118,75.82910100815691,-22.156815501350287,-9.218764658592157,71.25311819092298
86,soygene,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1.0,90.0,74.7555,-2.4857999999999976,-3.218226518714726,0.03,52.4464,5.2042,11.015998408202838,21.6493,-9.1553,-29.720561214883492,41.27892561943016,-23.92667138403005,-36.69419878597286,-64.53511731465677,27.22652191969378,-29.67091929358391
86,soyglobal,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1.0,90.0,63.4847,0.29239999999999355,0.4627146028867339,0.03,39.883,-2.6229999999999976,-6.170893520914688,20.8259,2.5195000000000007,13.762946292007172,52.217513247840245,9.149712613218043,21.244903334726104,-61.95563561969984,-7.467102692448329,13.703989245623061
