serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
68,,all,hideit3_base_patch16_224.fb_in1k,,,,92.3092,0.1427,92.46924692469248,0.01,92.01920192019202,0.15453682933606927,-0.426409907665811,92.3092\pm{0.1427},92.3092+-0.1427
68,,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,,,,92.3092,0.1427,92.46924692469248,0.01,92.01920192019202,0.15453682933606927,-0.426409907665811,92.3092\pm{0.1427},92.3092+-0.1427
69,,all,hideit3_base_patch16_224.fb_in1k,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,92.3032,0.3169,92.91929192919292,0.01,91.74917491749174,0.34331059634598937,-0.947227205442383,92.3032\pm{0.3169},92.3032+-0.3169
69,,aircraft_pl,hideit3_base_patch16_224.fb_in1k,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,92.3032,0.3169,92.91929192919292,0.01,91.74917491749174,0.34331059634598937,-0.947227205442383,92.3032\pm{0.3169},92.3032+-0.3169
