serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
86,,all,hivit_base_patch16_224.orig_in21k,0,70.0,-1.0,hivit_base_patch16_224.orig_in21k,63.9437,20.4567,86.26262623180043,0.03,1.678183612859432,31.991737091302724,-61.05021174710806,63.9437\pm{20.4567},63.9437+-20.4567
86,,all,hivit_base_patch16_224.orig_in21k,0,90.0,-1.0,hivit_base_patch16_224.orig_in21k,60.3027,21.8629,87.53535352918837,0.03,2.545579635362917,36.25524811431848,-65.22613036193391,60.3027\pm{21.8629},60.3027+-21.8629
83,,all,hivit_base_patch16_224.orig_in21k,0,,,,60.6732,23.3753,87.57575757575758,0.03,3.715336982859194,38.52658897929417,-69.74071518778264,60.6732\pm{23.3753},60.6732+-23.3753
86,,all,hideit_base_patch16_224.fb_in1k,0,70.0,-1.0,hideit_base_patch16_224.fb_in1k,65.0802,21.2651,89.59595956513375,0.03,2.5127882975859284,32.675230212382786,-63.4685703910372,65.0802\pm{21.2651},65.0802+-21.2651
86,,all,hideit_base_patch16_224.fb_in1k,0,90.0,-1.0,hideit_base_patch16_224.fb_in1k,62.9148,22.9906,87.81818181201665,0.03,1.723054832630351,36.54248249477126,-68.60648219569144,62.9148\pm{22.9906},62.9148+-22.9906
83,,all,hideit_base_patch16_224.fb_in1k,0,,,,65.6148,22.1801,88.74747474130957,0.03,1.543569954231356,33.80348113085418,-66.20222644823426,65.6148\pm{22.1801},65.6148+-22.1801
86,,soyageing_r1,hivit_base_patch16_224.orig_in21k,0,70.0,-1.0,hivit_base_patch16_224.orig_in21k,73.6364,20.1623,86.26262623180043,0.03,19.49494949494949,27.380910255314777,-60.21311080483982,73.6364\pm{20.1623},73.6364+-20.1623
86,,soyageing_r1,hivit_base_patch16_224.orig_in21k,0,90.0,-1.0,hivit_base_patch16_224.orig_in21k,77.8283,7.4174,84.2424242115984,0.1,60.90909087826507,9.530451707410966,-22.156856204845223,77.8283\pm{7.4174},77.8283+-7.4174
83,,soyageing_r1,hivit_base_patch16_224.orig_in21k,0,,,,79.899,4.3308,84.74747473206183,0.1,71.61616158533577,5.4202899932893445,-12.938067958634395,79.899\pm{4.3308},79.899+-4.3308
86,,soyageing_r1,hideit_base_patch16_224.fb_in1k,0,70.0,-1.0,hideit_base_patch16_224.fb_in1k,75.8788,17.1583,89.59595956513375,0.03,32.121212121212125,22.61277124302072,-51.24876244690771,75.8788\pm{17.1583},75.8788+-17.1583
86,,soyageing_r1,hideit_base_patch16_224.fb_in1k,0,90.0,-1.0,hideit_base_patch16_224.fb_in1k,79.3232,10.2682,86.16161613079032,5e-05,56.161616157762936,12.944765719369803,-30.6751720912956,79.3232\pm{10.2682},79.3232+-10.2682
83,,soyageing_r1,hideit_base_patch16_224.fb_in1k,0,,,,81.596,8.5768,87.37373734291154,5e-05,58.686868686868685,10.5112835518152,-25.62523519705905,81.596\pm{8.5768},81.596+-8.5768
