serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
40,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,50,-1,hiresnet50.fb_ssl_yfcc100m_ft_in1k,88.1343,6.224,94.14251958711604,0.03,64.63583016914049,7.061949940601166,-18.601387648572942,88.1343\pm{6.224},88.1343+-6.224
40,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,70,-1,hiresnet50.fb_ssl_yfcc100m_ft_in1k,88.1396,5.945,94.13008332296978,0.03,67.15567828788402,6.744977929600678,-17.76753089060301,88.1396\pm{5.945},88.1396+-5.945
40,,all,hiresnet50.in1k_supcon,25,-1,hiresnet50.in1k_supcon,88.1854,5.8955,94.2295734361398,0.03,69.67552640662754,6.6853485771571535,-17.61965145574855,88.1854\pm{5.8955},88.1854+-5.8955
40,,all,hiresnet50.in1k_supcon,50,-1,hiresnet50.in1k_supcon,87.9094,6.1981,94.17982837955478,0.03,66.91404901622369,7.0505306361096585,-18.523724978096883,87.9094\pm{6.1981},87.9094+-6.1981
40,,all,hiresnet50.in1k_supcon,70,-1,hiresnet50.in1k_supcon,88.1909,6.0953,94.25444596443228,0.01,68.46738004832585,6.911444928449553,-18.216683582723576,88.1909\pm{6.0953},88.1909+-6.0953
40,,all,hiresnet50.in1k_swav,25,-1,hiresnet50.in1k_swav,89.3811,3.7374,93.73212287028976,0.0001,81.03210217466345,4.181475698220007,-11.170530062960024,89.3811\pm{3.7374},89.3811+-3.7374
40,,all,hiresnet50.in1k_swav,50,-1,hiresnet50.in1k_swav,91.86,1.5076,93.96841188906852,0.0001,88.35883588358836,1.6412183018104585,-4.506456772969179,91.86\pm{1.5076},91.86+-1.5076
40,,all,hiresnet50.in1k_swav,70,-1,hiresnet50.in1k_swav,92.007,1.375,93.94353936077604,0.0001,88.62886288628863,1.4945030967086352,-4.110195871753509,92.007\pm{1.375},92.007+-1.375
40,,all,hiresnet50.in1k_mocov3,25,-1,hiresnet50.in1k_mocov3,90.0667,4.1047,93.545578908096,0.0001,79.51328960994132,4.55739231750387,-12.268508325307925,90.0667\pm{4.1047},90.0667+-4.1047
40,,all,hiresnet50.in1k_mocov3,50,-1,hiresnet50.in1k_mocov3,92.1821,1.1242,93.80674045516729,0.0001,89.28892889288929,1.2195114375293854,-3.3603201663871185,92.1821\pm{1.1242},92.1821+-1.1242
