method,SoyLocal,Average
RN TV1,55.58232653474814,55.58232653474814
RN TV2,62.601049299686636,62.601049299686636
RN Gluon,62.32785778807006,62.32785778807006
RN IN21k-P,38.02610400659996,31.4290758379175
RN A1,43.125024591675235,43.125024591675235
RN IG1b,74.34945718432849,74.34945718432849
RN YFCC100m,67.12061422878372,67.12061422878372
RN SupCon,68.33156210943359,38.56038594115322
RN SwAV,32.98819656112972,25.756037563672766
RN MoCo v3,32.870800089119726,27.855626168966158
RN SparK,70.74423426391975,48.334749211653026
ViT,50.5253597477421,50.5253597477421
DeiT,44.22603509171967,44.22603509171967
ViT IN21k-P,50.21716179973229,50.21716179973229
DeiT 3 (IN1k),59.32207826414627,59.32207826414627
DeiT 3 (IN21k),63.55954583047495,63.55954583047495
ViT MoCo v3,57.26716010549781,45.180425202717274
ViT DINO,50.07801367862225,62.103948387411
ViT CLIP,25.978759893251425,25.978759893251425
ViT SigLIP v2,33.17375620929802,43.91030137784896
ViT MAE,21.793198472714323,21.793198472714323
