serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
55,,all,hiresnet50.in1k_spark,0,,,,13.65,9.6566,33.166666666666664,1e-05,5.833333333333333,70.74423426391975,-28.26232158843594,13.65\pm{9.6566},13.65+-9.6566
55,,all,hivit_base_patch16_224.orig_in21k,0,,,,36.3,18.3407,52.16666666666666,0.0001,6.166666666666667,50.5253597477421,-54.516863167813725,36.3\pm{18.3407},36.3+-18.3407
55,,all,hideit_base_patch16_224.fb_in1k,0,,,,35.9444,15.8968,51.833333333333336,0.01,11.666666666666666,44.22603509171967,-47.248147489653846,35.9444\pm{15.8968},35.9444+-15.8968
55,,all,hivit_base_patch16_224_miil.in21k,0,,,,36.2667,18.2121,53.833333333333336,0.03,8.333333333333334,50.21716179973229,-54.13410042011141,36.2667\pm{18.2121},36.2667+-18.2121
55,,all,hideit3_base_patch16_224.fb_in1k,0,,,,30.4444,18.0603,48.5,5e-05,1.6666666666666667,59.32207826414627,-53.58761069861213,30.4444\pm{18.0603},30.4444+-18.0603
55,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,0,,,,32.1,20.4026,58.333333333333336,5e-06,6.333333333333333,63.55954583047495,-60.57224717644263,32.1\pm{20.4026},32.1+-20.4026
55,,all,hivit_base_patch16_224.in1k_mocov3,0,,,,28.4,16.2639,47.16666666666666,5e-05,5.166666666666667,57.26716010549781,-48.21894880882915,28.4\pm{16.2639},28.4+-16.2639
55,,all,hivit_base_patch16_224.dino,0,,,,41.6296,20.8473,60.0,5e-06,7.333333333333333,50.07801367862225,-62.041094724070895,41.6296\pm{20.8473},41.6296+-20.8473
55,,all,hivit_base_patch16_clip_224.laion2b,0,,,,43.4333,11.2834,58.833333333333336,5e-06,28.166666666666668,25.978759893251425,-33.59053654197409,43.4333\pm{11.2834},43.4333+-11.2834
55,,all,hivit_base_patch16_siglip_224.v2_webli,0,,,,41.8148,13.8715,54.0,0.01,15.0,33.17375620929802,-41.28289661601531,41.8148\pm{13.8715},41.8148+-13.8715
55,,all,hivit_base_patch16_224.mae,0,,,,48.5667,10.5842,58.833333333333336,0.0001,32.166666666666664,21.793198472714323,-31.534758190017627,48.5667\pm{10.5842},48.5667+-10.5842
54,,soylocal,hiresnet50.tv_in1k,0,10.0,-1.0,hiresnet50.tv_in1k,47.6333,4.1876,52.16666666666666,0.03,38.66666666666666,8.791274653148248,-12.474818732817363,47.6333\pm{4.1876},47.6333+-4.1876
54,,soylocal,hiresnet50.tv_in1k,0,20.0,-1.0,hiresnet50.tv_in1k,48.8667,7.4248,53.0,0.0001,28.33333333333333,15.194099251612808,-22.122608510348243,48.8667\pm{7.4248},48.8667+-7.4248
54,,soylocal,hiresnet50.tv_in1k,0,30.0,-1.0,hiresnet50.tv_in1k,48.55,4.4928,53.66666666666666,0.01,38.333333333333336,9.254020454110082,-13.385940586870234,48.55\pm{4.4928},48.55+-4.4928
54,,soylocal,hiresnet50.tv_in1k,0,40.0,-1.0,hiresnet50.tv_in1k,49.05,4.6852,54.833333333333336,0.01,38.833333333333336,9.551848165947984,-13.96002609453298,49.05\pm{4.6852},49.05+-4.6852
