method,SoyLocal,Average
RN TV1,55.58232653474814,55.58232653474814
RN TV2,62.601049299686636,62.601049299686636
RN Gluon,62.32785778807006,62.32785778807006
RN IN21k-P,38.02610400659996,38.02610400659996
RN A1,43.125024591675235,43.125024591675235
RN IG1b,74.34945718432849,74.34945718432849
RN YFCC100m,67.12061422878372,67.12061422878372
RN SupCon,68.33156210943359,68.33156210943359
RN SwAV,32.98819656112972,32.98819656112972
RN MoCo v3,32.870800089119726,32.870800089119726
RN SparK,70.74423426391975,70.74423426391975
ViT,50.5253597477421,50.5253597477421
DeiT,44.22603509171967,44.22603509171967
ViT IN21k-P,50.21716179973229,50.21716179973229
DeiT 3 (IN1k),59.32207826414627,59.32207826414627
DeiT 3 (IN21k),63.55954583047495,63.55954583047495
ViT MoCo v3,57.26716010549781,57.26716010549781
ViT DINO,50.07801367862225,50.07801367862225
ViT CLIP,25.978759893251425,25.978759893251425
ViT SigLIP v2,33.17375620929802,33.17375620929802
ViT MAE,21.793198472714323,21.793198472714323
