serial,dataset_name,method,acc,acc_std,acc_max,acc_min,acc_z_score,acc_std_z_score,acc_max_z_score,acc_min_z_score
23,cars,hiresnet50.in1k_supcon,92.38,2.52,94.6648,86.2952,0.8309881592126221,-0.91401803651348,0.8578606704199101,0.9560982410407638
23,cars,hiresnet50.in1k_swav,92.88,0.66,93.9933,91.5558,0.8752367299907171,-1.0661920465992245,0.5674888522136747,1.1135621175320825
23,cars,hiresnet50.in1k_spark,62.43,26.37,86.7429,16.3786,-1.8195012303952656,1.0372454799085673,-2.5677484236202868,-1.1366932403668528
23,cub,hivit_base_patch16_224.orig_in21k,80.46,16.24,91.0079,41.3531,0.37375456721450334,0.5152930050317572,1.553644623566023,-0.45836950378739705
23,cub,hideit_base_patch16_224.fb_in1k,79.05,14.39,88.35,41.8364,0.22952320092724407,0.3097577561048195,0.6533604448703951,-0.4380786637002805
23,cub,hivit_base_patch16_224_miil.in21k,80.4,13.63,90.0587,49.465,0.3676170622661105,0.22532165384294225,1.2321314957516243,-0.11779994926084815
23,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k,80.41,18.84,90.9734,31.222,0.3686399797575086,0.8041533548750217,1.541958779792741,-0.8837130378378557
23,cub,hideit3_base_patch16_224.fb_in1k,81.44,10.53,88.9713,54.8671,0.4740004813716062,-0.11908876327787299,0.8638072488222353,0.10900151408409786
23,cub,hivit_base_patch16_224.in1k_mocov3,78.71,14.4,88.0048,40.9562,0.19474400621967758,0.31086875745037046,0.5364342631157311,-0.47503293112150935
23,cub,hivit_base_patch16_224.dino,71.87,19.99,85.8819,25.5437,-0.5049315578972404,0.9319185096133884,-0.18263465706672163,-1.1221104664881227
23,cub,hivit_base_patch16_clip_224.laion2b,52.2,31.43,80.6179,7.1626,-2.5170102634790825,2.2029040489237515,-1.9656573127925805,-1.893821537717791
23,cub,hivit_base_patch16_siglip_224.v2_webli,74.24,21.86,87.815,21.436,-0.2625001124356773,1.1396757612314286,0.4721451863572247,-1.2945679128482486
23,cub,hivit_base_patch16_224.mae,68.41,21.64,85.5713,33.69,-0.8588610099212968,1.1152337316293064,-0.28784112303717496,-0.7800966642913967
23,cub,hiresnet50.tv_in1k,83.17,3.02,86.7622,76.1477,0.6509652073836344,-0.9534507737866863,0.11554065521205581,1.002445030653295
23,cub,hiresnet50.tv2_in1k,84.01,1.96,86.952,80.4971,0.7368902766611511,-1.0712169164150938,0.1798297319705574,1.1850499962541743
23,cub,hiresnet50.gluon_in1k,81.96,3.15,85.3297,74.0421,0.527192190924354,-0.9390077562945229,-0.36967590146106405,0.914043638376381
23,cub,hiresnet50.a1_in1k,82.66,2.47,85.3814,77.0625,0.5987964153222847,-1.014555847791992,-0.35216407180661474,1.040851942533482
23,cub,hiresnet50.in21k_miil,48.94,25.0,85.6576,13.7729,-2.8504813656751584,1.4885301837344478,-0.2586095775985054,-1.6162950733522483
23,cub,hiresnet50.fb_swsl_ig1b_ft_in1k,81.39,5.04,85.7784,68.9679,0.46888589391461144,-0.7290285019853809,-0.21769218838655843,0.701008710236412
23,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k,81.76,5.32,85.9337,67.6907,0.5067338410963751,-0.6979204643099524,-0.16508895540133417,0.6473868170866807
23,cub,hiresnet50.in1k_mocov3,83.84,1.56,85.3469,80.428,0.7195006793073678,-1.1156569702371346,-0.36384991557989205,1.1821489057306487
23,cub,hiresnet50.in1k_supcon,81.17,4.51,85.3297,70.4522,0.44638170910383346,-0.7879115732995848,-0.36967590146106405,0.7633254781679395
23,cub,hiresnet50.in1k_swav,84.98,1.53,86.6759,81.5499,0.8361132733268544,-1.1189899742737877,0.0863091097733862,1.229250692392631
23,cub,hiresnet50.in1k_spark,71.86,7.13,78.4432,59.5444,-0.5059544753886399,-0.4968292207652185,-2.7022719346404207,0.30537301488995433
23,all,hivit_base_patch16_224.orig_in21k,83.39,10.7,91.7672,41.3531,0.19274240304888077,-0.26798266840580326,-0.9665235268345944,-0.18523143357941343
23,all,hideit_base_patch16_224.fb_in1k,84.07,11.86,93.3466,41.8364,0.2706909024977052,-0.13567505181955744,0.1396098432098933,-0.16788090766692668
23,all,hivit_base_patch16_224_miil.in21k,80.67,15.0,92.0159,34.4733,-0.11905159474642034,0.22246797928459072,-0.7923463904979698,-0.432217049496497
23,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,83.91,15.4,93.4461,31.222,0.252350079097982,0.26809129534881343,0.20929470475189269,-0.5489390956360962
23,all,hideit3_base_patch16_224.fb_in1k,84.43,11.91,93.0357,40.1318,0.3119577551470849,-0.1299721373115295,-0.07812908597006189,-0.22907624487037165
23,all,hivit_base_patch16_224.in1k_mocov3,80.57,16.19,92.8118,34.834,-0.13051460937124856,0.3581973445756534,-0.23493753319873253,-0.4192678777674798
23,all,hivit_base_patch16_224.dino,67.07,27.66,89.8271,3.2086,-1.6780215837229275,1.6664459327172387,-2.325273274348411,-1.554623396477928
23,all,hivit_base_patch16_clip_224.laion2b,59.54,30.48,90.7599,4.7258,-2.541186584972419,1.9880903109700088,-1.6719864517717975,-1.5001557409545987
23,all,hivit_base_patch16_siglip_224.v2_webli,76.71,23.39,95.4359,9.7749,-0.5729869738895804,1.1794170337316616,1.6028518655183448,-1.318892466829341
23,all,hivit_base_patch16_224.mae,74.42,20.96,93.0481,28.2179,-0.8354900087981236,0.9022553886415089,-0.06944474141608495,-0.6567866331773781
23,all,hiresnet50.tv_in1k,89.14,4.83,94.3166,76.1477,0.8518657439764478,-0.937504831648271,0.8189496994484375,1.0638987317725679
23,all,hiresnet50.tv2_in1k,89.58,4.24,93.8316,80.4971,0.9023030083256874,-1.0047992228429996,0.47927977132916544,1.2200426949502423
23,all,hiresnet50.gluon_in1k,88.47,5.24,94.2793,74.0421,0.775063545990105,-0.8907409326824428,0.7928266307497888,0.9883074481778398
23,all,hiresnet50.a1_in1k,88.02,4.46,93.1227,77.0625,0.723479980178382,-0.979706399007677,-0.017198604018777344,1.0967401576048519
23,all,hiresnet50.in21k_miil,67.7,27.16,92.9493,13.7729,-1.6058045915865147,1.6094167876369605,-0.1386393577010086,-1.1753638043047763
23,all,hiresnet50.fb_swsl_ig1b_ft_in1k,87.98,6.11,94.3788,68.9679,0.7188947743284521,-0.7915102202427584,0.8625114922917781,0.8061430811487885
23,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,88.38,5.82,94.4161,67.6907,0.76474683282776,-0.8245871243893199,0.8886345609904369,0.7602914533908162
23,all,hiresnet50.in1k_mocov3,89.6,4.32,93.8565,80.428,0.9045956112506524,-0.9956745596301549,0.4967184954738473,1.217561996956133
23,all,hiresnet50.in1k_supcon,88.42,6.01,94.6648,70.4522,0.7693320386776916,-0.8029160492588142,1.0628116973270616,0.85942962286595
23,all,hiresnet50.in1k_swav,89.81,3.71,93.9933,81.5499,0.9286679419627906,-1.0652501166280945,0.5925264257145054,1.257838336747606
23,all,hiresnet50.in1k_spark,74.0,18.59,90.7891,16.3786,-0.8836346702223983,0.6319372409609894,-1.6515362210479134,-1.0818188728539864
24,aircraft,hivit_base_patch16_224.orig_in21k_fz,38.95,2.88,40.7141,31.5932,-0.23648615047481591,-0.5392986440117482,-0.3156035403495237,-0.0988186573770912
24,aircraft,hideit_base_patch16_224.fb_in1k_fz,43.52,3.96,45.9646,33.2733,0.21915680999633677,0.5079011202165427,0.22918272673965984,0.06839137137157834
24,aircraft,hivit_base_patch16_224_miil.in21k_fz,27.34,3.17,29.913,19.592,-1.3940386167921208,-0.25810611472822564,-1.4363141297137723,-1.2932243457400063
24,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,51.82,4.72,55.6856,40.084,1.0466921649001806,1.244819472821636,1.2378232947567935,0.7462184904707777
24,aircraft,hideit3_base_patch16_224.fb_in1k_fz,46.21,4.91,50.195,34.6535,0.4873580274290282,1.4290490609729096,0.6681245083402857,0.20575419601232242
24,aircraft,hivit_base_patch16_224.in1k_mocov3_fz,45.88,5.14,49.4749,32.8833,0.45445601934248997,1.6520638255770823,0.5934077021445096,0.0295770679301277
24,aircraft,hivit_base_patch16_224.dino_fz,55.71,3.21,57.6358,47.1047,1.4345370481021027,-0.21932093827532595,1.440173961946076,1.444945619115373
24,aircraft,hivit_base_patch16_clip_224.laion2b_fz,60.08,2.68,61.7162,52.8653,1.8702393976117166,-0.7332245262762462,1.86355190390031,2.018262738102091
24,aircraft,hivit_base_patch16_siglip_224.v2_webli_fz,30.74,2.29,32.2532,24.9925,-1.055048230445968,-1.1113799966920181,-1.1934974794438726,-0.7557457669308936
24,aircraft,hivit_base_patch16_224.mae_fz,23.26,6.29,31.0231,10.9511,-1.8008270804075042,2.7671376485979478,-1.321131340437379,-2.153200024220084
24,aircraft,hiresnet50.tv_in1k_fz,43.97,3.25,46.1146,35.3735,0.2640231846597978,-0.18053576182242628,0.24474656638605174,0.2774113715965388
24,aircraft,hiresnet50.tv2_in1k_fz,35.94,2.4,37.4137,29.3729,-0.5365923454459695,-1.004720761446544,-0.6580495161425234,-0.3197914725849186
24,aircraft,hiresnet50.gluon_in1k_fz,40.35,3.08,41.9742,32.0132,-0.09690187374404718,-0.34537276174724973,-0.18485691142673893,-0.05701863828629844
24,aircraft,hiresnet50.a1_in1k_fz,33.76,3.71,36.2436,24.0924,-0.7539450049267381,0.2654937673859198,-0.7794578412774731,-0.8453271887966618
