serial,setting,dataset_name,method,seed,img_per_class,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
102,,all,hiresnet50.in1k_mocov3,0,1.0,16.4206,1.2662,18.24182418241824,0.0005,14.491449144914492,7.7111901576322435,-3.721568902448994,16.4206\pm{1.2662},16.4206+-1.2662
102,,all,hiresnet50.in1k_mocov3,0,3.0,37.361,4.3859,45.51259924059372,0.0001,28.08077321366931,11.739176375266434,-13.04024369766633,37.361\pm{4.3859},37.361+-4.3859
102,,all,hiresnet50.in1k_mocov3,0,5.0,47.1137,2.2682,50.52505250525053,0.0001,43.56435643564357,4.814360129865094,-6.756527606556576,47.1137\pm{2.2682},47.1137+-2.2682
102,,all,hiresnet50.in1k_spark,0,1.0,5.1942,1.8263,9.72097209720972,5e-05,2.5743066782738464,35.16055314043932,-5.127331726558716,5.1942\pm{1.8263},5.1942+-1.8263
102,,all,hiresnet50.in1k_spark,0,3.0,16.0038,6.9963,27.272727272727277,5e-05,6.5585088022091815,43.71644833957486,-20.551666833427653,16.0038\pm{6.9963},16.0038+-6.9963
102,,all,hiresnet50.in1k_spark,0,5.0,26.2526,10.7988,40.294029402940296,5e-05,8.34083408340834,41.13417897894778,-31.98506379669055,26.2526\pm{10.7988},26.2526+-10.7988
102,,all,hivit_base_patch16_224.orig_in21k,0,1.0,18.4584,18.5103,59.75146703486365,0.1,2.561870414127596,100.28133967104674,-54.52817242715149,18.4584\pm{18.5103},18.4584+-18.5103
102,,all,hivit_base_patch16_224.orig_in21k,0,3.0,38.9223,28.0275,79.70314118053159,0.03,10.14101410141014,72.00897855043982,-83.36248589037481,38.9223\pm{28.0275},38.9223+-28.0275
102,,all,hivit_base_patch16_224.orig_in21k,0,5.0,24.0474,7.0145,32.133213321332136,0.0001,9.48094809480948,29.16937297009915,-20.751737805433542,24.0474\pm{7.0145},24.0474+-7.0145
102,,all,hideit_base_patch16_224.fb_in1k,0,1.0,10.009,1.088,11.731173117311732,0.001,8.370837083708372,10.869906925928735,-3.155208176906173,10.009\pm{1.088},10.009+-1.088
102,,all,hideit_base_patch16_224.fb_in1k,0,3.0,21.9952,5.1622,27.602760276027603,0.0001,10.98109810981098,23.469539135654372,-15.251820486544645,21.9952\pm{5.1622},21.9952+-5.1622
102,,all,hideit_base_patch16_224.fb_in1k,0,5.0,31.3621,10.1552,42.51425142514251,0.0001,8.64086408640864,32.3805333128114,-30.14187555965475,31.3621\pm{10.1552},31.3621+-10.1552
102,,all,hivit_base_patch16_224_miil.in21k,0,1.0,5.4875,2.4286,11.27027959958578,0.1,2.499689093396344,44.25702860075656,-6.8432854864037616,5.4875\pm{2.4286},5.4875+-2.4286
102,,all,hivit_base_patch16_224_miil.in21k,0,3.0,20.1304,13.5088,58.54332067656196,0.1,7.800780078007801,67.10659712327134,-39.85548088282946,20.1304\pm{13.5088},20.1304+-13.5088
102,,all,hivit_base_patch16_224_miil.in21k,0,5.0,18.2298,3.7116,24.152415241524157,0.03,13.231323132313232,20.360059257755868,-10.931207692762193,18.2298\pm{3.7116},18.2298+-3.7116
102,,all,hideit3_base_patch16_224.fb_in1k,0,1.0,14.7002,7.2469,30.47980669658267,0.1,2.648924263151349,49.297927753274806,-21.24776407207751,14.7002\pm{7.2469},14.7002+-7.2469
102,,all,hideit3_base_patch16_224.fb_in1k,0,3.0,36.6173,16.9457,59.33724542630307,0.03,5.6105610561056105,46.27775070439235,-50.37419542956351,36.6173\pm{16.9457},36.6173+-16.9457
