serial,setting,method,acc,acc_std,acc_max,trainable_percent,no_params,no_params_trainable,no_params_total,no_params_trainable_total,flops,time_train,tp_train,vram_train
23,,hivit_base_patch16_224.orig_in21k,83.39408214285713,10.700321298189326,91.7672,100.0,86.77743333333332,86.77743333333332,260.3323,260.3323,78.5172,6.9996503571428565,58.95896700957655,8.036678571428572
23,,hideit_base_patch16_224.fb_in1k,84.07211428571429,11.861806244185715,93.3466,100.0,86.77743333333332,86.77743333333332,260.3323,260.3323,78.5172,6.904311488095238,59.48054681439497,8.037167857142858
23,,hivit_base_patch16_224_miil.in21k,80.66887586206896,15.002180008172507,92.0159,100.0,86.74980000000001,86.74980000000001,260.24940000000004,260.24940000000004,78.5172,6.404017011494253,63.564360460452505,8.02483448275862
23,,hideit3_base_patch16_224.fb_in22k_ft_in1k,83.90566666666666,15.400460174418367,93.4461,100.0,86.79513333333334,86.79513333333334,260.3854,260.3854,78.5317,7.111884753086421,57.6886520476456,8.265044444444444
23,,hideit3_base_patch16_224.fb_in1k,84.42528148148148,11.9053751937142,93.0357,100.0,86.79513333333334,86.79513333333334,260.3854,260.3854,78.5317,7.120003518518518,57.51748328763665,8.228214814814814
23,,hivit_base_patch16_224.in1k_mocov3,80.57244666666666,16.194626466478983,92.8118,100.0,86.77743333333332,86.77743333333332,260.3323,260.3323,78.5172,6.858162166666667,60.02898255601801,7.875653333333333
23,,hivit_base_patch16_224.dino,67.0676125,27.659419072938707,89.8271,100.0,86.77743333333332,86.77743333333332,260.3323,260.3323,78.5172,6.867780277777778,59.87402306381248,8.034754166666668
23,,hivit_base_patch16_clip_224.laion2b,59.539952,30.478247255011237,90.7599,100.0,86.77823333333333,86.77823333333333,260.3347,260.3347,78.5178,6.905183000000001,59.15810759370251,7.906079999999999
23,,hivit_base_patch16_siglip_224.v2_webli,76.71286086956522,23.390743875686052,95.4359,100.0,93.86303333333332,93.86303333333332,281.5891,281.5891,79.3353,4.2049416666666675,92.34600010643388,8.2933
23,,hivit_base_patch16_224.mae,74.42131481481482,20.95741913879195,93.0481,100.0,86.77743333333332,86.77743333333332,260.3323,260.3323,78.5172,6.966765987654321,58.14672626486327,7.875870370370371
23,,hiresnet50.tv_in1k,89.13980666666666,4.829363222387313,94.3166,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.5270461111111113,153.47661428281262,6.77786
23,,hiresnet50.tv2_in1k,89.58267666666667,4.2403219304169255,93.8316,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.5268465,153.3725982087999,6.778443333333334
23,,hiresnet50.gluon_in1k,88.46983,5.23661844073983,94.2793,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.5320340555555556,153.06542593104024,6.778446666666667
23,,hiresnet50.a1_in1k,88.02028666666666,4.458142281398776,93.1227,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.593840888888889,149.2987162541237,6.77812
23,,hiresnet50.in21k_miil,67.70397333333334,27.16059407521446,92.9493,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.7192316666666665,143.00554563935083,5.857153333333333
23,,hiresnet50.fb_swsl_ig1b_ft_in1k,87.97623,6.11052861081197,94.3788,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.537463111111111,152.64123997668156,6.77779
23,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,88.38418333333334,5.8224294200772935,94.4161,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.5465675,152.27935401233543,6.778183333333334
23,,hiresnet50.in1k_mocov3,89.60201,4.320581655873316,93.8565,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.7142038333333334,143.24701195233936,5.856433333333333
23,,hiresnet50.in1k_supcon,88.42019333333333,6.0057746176970985,94.6648,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.7169449444444442,143.10111906783433,5.856373333333334
23,,hiresnet50.in1k_swav,89.81305333333333,3.712000645319268,93.9933,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,3.76202,116.10173336276388,5.858386666666666
23,,hiresnet50.in1k_spark,73.99680333333335,18.59417061269812,90.7891,100.0,24.803233333333335,24.803233333333335,74.4097,74.4097,16.3943,2.7168717777777776,143.15154882460413,5.856696666666666
24,,hivit_base_patch16_224.orig_in21k_fz,53.40864333333333,20.881464464541743,82.9306,0.07448172969700649,86.77743333333332,0.06463333333333333,260.3323,0.1939,78.5172,1.5672975555555555,246.40003947455656,0.8125
24,,hideit_base_patch16_224.fb_in1k_fz,53.80242,10.042969759450706,67.6562,0.07448172969700649,86.77743333333332,0.06463333333333333,260.3323,0.1939,78.5172,1.559079,247.63827526087198,0.8125
24,,hivit_base_patch16_224_miil.in21k_fz,25.397896666666668,8.008846895798003,34.9154,0.07450545515186587,86.74980000000001,0.06463333333333333,260.24940000000004,0.1939,78.5172,1.5570027222222222,248.1295397987086,0.8125
24,,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,63.58047,13.040593775516298,81.5326,0.07446654075074868,86.79513333333334,0.06463333333333333,260.3854,0.1939,78.5317,1.6070017777777779,240.37804045026445,1.0332
24,,hideit3_base_patch16_224.fb_in1k_fz,56.88758333333333,10.189844378937005,70.107,0.07446654075074868,86.79513333333334,0.06463333333333333,260.3854,0.1939,78.5317,1.5939404444444445,242.3917039747776,1.0332
24,,hivit_base_patch16_224.in1k_mocov3_fz,52.798136666666664,7.9560990996707375,63.3069,0.07448172969700649,86.77743333333332,0.06463333333333333,260.3323,0.1939,78.5172,1.5810137222222223,244.43598548519049,0.8125
24,,hivit_base_patch16_224.dino_fz,63.401410000000006,8.176727020756259,74.5599,0.07448172969700649,86.77743333333332,0.06463333333333333,260.3323,0.1939,78.5172,1.6975172222222221,235.12338005595754,0.8125
24,,hivit_base_patch16_clip_224.laion2b_fz,75.64596333333334,12.76110221756843,90.8842,0.07448104305726437,86.77823333333333,0.06463333333333333,260.3347,0.1939,78.5178,1.576540611111111,244.92970353082495,0.8125
24,,hivit_base_patch16_siglip_224.v2_webli_fz,32.62615,3.9763529629592105,38.8505,0.06885919945054692,93.86303333333332,0.06463333333333333,281.5891,0.1939,79.3353,1.521689888888889,253.8872072884733,0.8633
