serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,aircraft_baseline,hivit_base_patch16_siglip_224.v2_webli,,,,93.6394,0.003,80.003,0.0,0.0,23.3529,0.0,0.0,29.19001006418467,0.0,0.0,-69.76677304681468,0.0,0.0
23,aircraft,hivit_base_patch16_siglip_224.v2_webli,,,,94.0894,0.003,77.5706,-2.4324000000000012,-3.0403859855255444,21.5584,-1.7945000000000029,-7.684270476043672,27.791984563567667,-1.3980255006170026,-4.789397117517068,-64.39733150966583,5.369441537148845,-7.696273315588008
40,aircraft_pl,hivit_base_patch16_siglip_224.v2_webli,hivit_base_patch16_siglip_224.v2_webli,-1.0,25.0,93.0093,0.003,79.5192,-0.48380000000000223,-0.6047273227254005,23.8528,0.4998999999999967,2.140633497338646,29.996298808191423,0.8062887440067534,2.762207831493855,-71.2584762889561,-1.4917032421414262,2.1381284772057154
40,aircraft_pl,hivit_base_patch16_siglip_224.v2_webli,hivit_base_patch16_siglip_224.v2_webli,-1.0,50.0,93.0693,0.003,86.9744,6.971400000000003,8.713923227878958,5.4468,-17.906100000000002,-76.67613015942345,6.2625727295981,-22.92743733458657,-78.54549307853065,-16.277882125058465,53.48889092175621,-76.66814528724765
40,aircraft_pl,hivit_base_patch16_siglip_224.v2_webli,hivit_base_patch16_siglip_224.v2_webli,-1.0,70.0,93.6694,0.003,68.4468,-11.556200000000004,-14.444708323437876,27.5933,4.2403999999999975,18.15791614745919,40.31344630622761,11.123436242042942,38.1069969403371,-82.37671118719248,-12.609938140377807,18.07441793519148
