serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,aircraft,hivit_base_patch16_clip_224.laion2b,,,,85.18,1e-05,57.6175,0.0,0.0,29.4344,0.0,0.0,51.085865593329785,0.0,0.0,-87.79233716877705,0.0,0.0
23,aircraft,hivit_base_patch16_clip_224.laion2b,,,,87.7888,1e-05,63.9477,6.330199999999998,10.986592615090897,27.2108,-2.223600000000001,-7.554426113662929,42.55173060273922,-8.534134990590566,-16.70547203511583,-81.20699391521929,6.585343253557767,-7.5010456105043914
40,aircraft_pl,hivit_base_patch16_clip_224.laion2b,hivit_base_patch16_clip_224.laion2b,-1.0,25.0,88.5989,5e-06,65.1965,7.579000000000001,13.15398967327635,26.6919,-2.7424999999999997,-9.317329383306607,40.940600087578325,-10.14526550575146,-19.859241666791128,-79.66615506559333,8.126182103183723,-9.256140530307881
40,aircraft_pl,hivit_base_patch16_clip_224.laion2b,hivit_base_patch16_clip_224.laion2b,-1.0,50.0,88.8989,5e-06,67.4468,9.829299999999996,17.059573914175374,25.2658,-4.168600000000001,-14.162340662626047,37.46033497309335,-13.625530620236432,-26.671820986068404,-75.42273208566358,12.36960508311347,-14.089618162611877
40,aircraft_pl,hivit_base_patch16_clip_224.laion2b,hivit_base_patch16_clip_224.laion2b,-1.0,70.0,87.9688,5e-06,74.6818,17.064299999999996,29.616522757842663,15.5131,-13.9213,-47.29602098225206,20.77228089685005,-30.313584696479737,-59.33849675327365,-46.33159030828448,41.46074686049257,-47.22592904752728
