method,Aircraft,Cars,CUB,Average
RN TV1,93.0017,92.728,85.5382,90.4226
RN TV2,93.1523,93.1894,86.3373,90.893
RN Gluon,92.6584,92.4157,84.4469,89.8403
RN IN21k-P,92.4732,92.8718,87.012,90.7857
RN A1,91.6248,91.8426,85.1277,89.5317
RN IG1b,92.7615,91.2398,83.9209,89.3074
RN YFCC100m,92.5797,92.3459,84.2556,89.727
RN SupCon,92.8885,92.576,83.7665,89.7437
RN SwAV,93.1236,93.0379,87.213,91.1248
RN MoCo v3,93.2811,93.263,86.2672,90.9371
RN SparK,88.909,88.9793,74.0036,83.964
ViT,86.5757,86.3733,82.9119,85.2021
DeiT,89.2461,86.9414,81.6604,85.7961
ViT IN21k-P,86.3193,78.4502,82.9509,82.4443
DeiT 3 (IN1k),88.6942,85.4396,83.8898,86.0079
DeiT 3 (IN21k),88.0263,85.5711,82.8477,85.4817
ViT MoCo v3,84.8765,80.7807,81.395,82.3507
ViT DINO,70.8316,62.1449,74.9201,69.2989
ViT CLIP,66.8988,63.9674,56.4225,62.1893
ViT SigLIP v2,79.8223,78.8366,77.1751,78.5587
ViT MAE,77.0362,82.1819,71.7127,76.5892
