serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_mean_std_latex,acc_mean_std
23,,cub,hivit_base_patch16_clip_224.laion2b,52.2,31.43,80.6179,52.2\pm{31.43},52.2+-31.43
23,,cub,hivit_base_patch16_siglip_224.v2_webli,74.24,21.86,87.815,74.24\pm{21.86},74.24+-21.86
23,,all,hiresnet50.tv_in1k,89.14,4.83,94.3166,89.14\pm{4.83},89.14+-4.83
23,,all,hiresnet50.tv2_in1k,89.58,4.24,93.8316,89.58\pm{4.24},89.58+-4.24
23,,all,hiresnet50.gluon_in1k,88.47,5.24,94.2793,88.47\pm{5.24},88.47+-5.24
23,,all,hiresnet50.fb_swsl_ig1b_ft_in1k,87.98,6.11,94.3788,87.98\pm{6.11},87.98+-6.11
23,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,88.38,5.82,94.4161,88.38\pm{5.82},88.38+-5.82
23,,all,hiresnet50.a1_in1k,88.02,4.46,93.1227,88.02\pm{4.46},88.02+-4.46
23,,all,hivit_base_patch16_224.orig_in21k,83.39,10.7,91.7672,83.39\pm{10.7},83.39+-10.7
23,,all,hideit_base_patch16_224.fb_in1k,84.07,11.86,93.3466,84.07\pm{11.86},84.07+-11.86
23,,all,hivit_base_patch16_224_miil.in21k,80.67,15.0,92.0159,80.67\pm{15.0},80.67+-15.0
23,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,83.91,15.4,93.4461,83.91\pm{15.4},83.91+-15.4
23,,all,hideit3_base_patch16_224.fb_in1k,84.43,11.91,93.0357,84.43\pm{11.91},84.43+-11.91
23,,all,hivit_base_patch16_224.in1k_mocov3,80.57,16.19,92.8118,80.57\pm{16.19},80.57+-16.19
23,,all,hivit_base_patch16_224.dino,67.07,27.66,89.8271,67.07\pm{27.66},67.07+-27.66
23,,all,hivit_base_patch16_224.mae,74.42,20.96,93.0481,74.42\pm{20.96},74.42+-20.96
23,,all,hivit_base_patch16_clip_224.laion2b,59.54,30.48,90.7599,59.54\pm{30.48},59.54+-30.48
23,,all,hivit_base_patch16_siglip_224.v2_webli,76.71,23.39,95.4359,76.71\pm{23.39},76.71+-23.39
24,,aircraft,hiresnet50.tv_in1k_fz,43.97,3.25,46.1146,43.97\pm{3.25},43.97+-3.25
24,,aircraft,hiresnet50.tv2_in1k_fz,35.94,2.4,37.4137,35.94\pm{2.4},35.94+-2.4
24,,aircraft,hiresnet50.gluon_in1k_fz,40.35,3.08,41.9742,40.35\pm{3.08},40.35+-3.08
24,,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,48.44,3.06,50.135,48.44\pm{3.06},48.44+-3.06
24,,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,48.47,3.21,50.255,48.47\pm{3.21},48.47+-3.21
24,,aircraft,hiresnet50.a1_in1k_fz,33.76,3.71,36.2436,33.76\pm{3.71},33.76+-3.71
24,,aircraft,hiresnet50.in1k_byol_fz,12.77,1.19,13.6514,12.77\pm{1.19},12.77+-1.19
24,,aircraft,hiresnet50.in1k_mocov3_fz,45.24,2.25,46.2946,45.24\pm{2.25},45.24+-2.25
24,,aircraft,hiresnet50.in1k_spark_fz,21.07,3.23,23.8224,21.07\pm{3.23},21.07+-3.23
24,,aircraft,hiresnet50.in1k_supcon_fz,42.93,2.81,44.3744,42.93\pm{2.81},42.93+-2.81
24,,aircraft,hiresnet50.in1k_swav_fz,3.69,0.18,3.8704,3.69\pm{0.18},3.69+-0.18
24,,aircraft,hiresnet50.in21k_miil_fz,45.85,3.01,47.9148,45.85\pm{3.01},45.85+-3.01
24,,aircraft,hivit_base_patch16_224.orig_in21k_fz,38.95,2.88,40.7141,38.95\pm{2.88},38.95+-2.88
24,,aircraft,hideit_base_patch16_224.fb_in1k_fz,43.52,3.96,45.9646,43.52\pm{3.96},43.52+-3.96
24,,aircraft,hivit_base_patch16_224_miil.in21k_fz,27.34,3.17,29.913,27.34\pm{3.17},27.34+-3.17
24,,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,51.82,4.72,55.6856,51.82\pm{4.72},51.82+-4.72
24,,aircraft,hideit3_base_patch16_224.fb_in1k_fz,46.21,4.91,50.195,46.21\pm{4.91},46.21+-4.91
24,,aircraft,hivit_base_patch16_224.in1k_mocov3_fz,45.88,5.14,49.4749,45.88\pm{5.14},45.88+-5.14
24,,aircraft,hivit_base_patch16_224.dino_fz,55.71,3.21,57.6358,55.71\pm{3.21},55.71+-3.21
24,,aircraft,hivit_base_patch16_224.mae_fz,23.26,6.29,31.0231,23.26\pm{6.29},23.26+-6.29
24,,aircraft,hivit_base_patch16_clip_224.laion2b_fz,60.08,2.68,61.7162,60.08\pm{2.68},60.08+-2.68
24,,aircraft,hivit_base_patch16_siglip_224.v2_webli_fz,30.74,2.29,32.2532,30.74\pm{2.29},30.74+-2.29
24,,cars,hiresnet50.tv_in1k_fz,46.28,4.0,48.9118,46.28\pm{4.0},46.28+-4.0
24,,cars,hiresnet50.tv2_in1k_fz,37.16,3.02,38.9255,37.16\pm{3.02},37.16+-3.02
24,,cars,hiresnet50.gluon_in1k_fz,42.38,3.41,44.1985,42.38\pm{3.41},42.38+-3.41
