method,Aircraft,Cars,CUB,Average
RN TV1,2.1443863369271723,3.5887349789077208,3.103014694609301,3.9969342453603582
RN Gluon,0.7859694994641357,1.7803232906123116,1.540928714322075,4.002453091016285
RN IN21k-P,1.034104593159781,1.4217704675648448,0.9319425321667539,3.0616757592171724
RN A1,0.8420032315486495,1.0807951634859592,1.182074672973381,3.992594186110099
RN TV2,1.0143988350340851,1.3272821125476486,1.380905924800973,4.3038597133569
RN IG1b,0.8781127177929235,1.4953256360022622,1.1121977574956428,1.3527244174488118
RN YFCC100m,0.8614889979385136,1.7403662783000782,1.7205275967640252,1.8334027318603656
RN SupCon,0.6786321390175045,1.4746037222690256,1.768460701839225,8.01433057284148
RN SwAV,0.6743365861185141,1.7386642154863703,1.7156594742453097,9.697078180064388
RN MoCo v3,1.0056314872664573,1.2804228762446355,1.5258633237035086,7.4229389824496534
RN SparK,3.036248539246219,3.9816261040629604,4.055949862083839,24.893392360768487
ViT,1.3186449655857075,1.240386298080748,0.40171021234235726,22.858127320972347
DeiT,0.9262278961082933,1.0891253515102026,0.6129124591711386,7.10714827044763
ViT IN21k-P,2.0088598528292403,2.148092184399834,1.7493896384828147,25.234697296289465
DeiT 3 (IN1k),0.8517055665297825,1.1750667343314896,1.1184461997371113,5.361529052595467
DeiT 3 (IN21k),0.7442163563378063,0.7882592778976629,0.48284100062218094,7.726298013902616
ViT MoCo v3,0.5684947741429955,1.7925743695619432,1.1572301297899075,4.500378973297211
ViT DINO,0.4800105636020855,1.4075424377250305,0.8645200868592143,3.76899378423499
ViT CLIP,0.8493821589355083,0.21625214351272382,0.709541374855193,9.302006115257242
ViT SigLIP v2,1.4431698846695928,1.9835745464997674,2.467113089315892,10.327475925708955
ViT MAE,3.9871916956235376,5.240072858924728,4.195612184667936,13.894366410692255
