method,Aircraft,Cars,CUB,Average
RN TV1,69.00459276696901,71.12523924642305,66.33655343637015,71.12523924642305
RN Gluon,68.30990791386832,72.5913231275081,65.49822464877865,72.5913231275081
RN IN21k-P,74.33589512797434,74.49237293019615,78.76530845410745,78.76530845410745
RN A1,64.13718294906414,69.6365880957653,64.15524559160278,69.6365880957653
RN TV2,65.81042719656581,68.47073383058168,62.09450929486712,68.47073383058168
RN IG1b,77.76085300837777,80.04379991567606,78.11731741270312,80.04379991567606
RN YFCC100m,75.13212859747514,77.80848759861804,77.46697652258044,77.80848759861804
RN SupCon,72.94652542177295,78.4445570111714,65.52164210669609,78.4445570111714
RN SwAV,73.2788663481733,75.66119976583424,60.8700760540692,75.66119976583424
RN MoCo v3,75.986060144476,80.41925376348651,67.5015111958137,80.41925376348651
RN SparK,57.14879180225715,50.29934997770573,31.17682044400797,57.14879180225715
ViT,57.00570057005701,53.98497335302915,85.47274904750097,85.47274904750097
DeiT,67.25980290336727,69.91564573026653,78.85411652980824,78.85411652980824
ViT IN21k-P,45.67841399524568,25.260054416238727,46.43479331865083,46.43479331865083
DeiT 3 (IN1k),70.8993976320709,74.50395988849827,80.787717907954,80.787717907954
DeiT 3 (IN21k),74.78363220937479,75.24018672595629,87.37936768001867,87.37936768001867
ViT MoCo v3,69.51464377206952,75.03993254085009,78.49232085644694,78.49232085644694
ViT DINO,76.90461353827692,79.41179503823393,84.5136056240793,84.5136056240793
ViT CLIP,75.05135128897506,93.16872977211304,82.89067045235399,93.16872977211304
ViT SigLIP v2,44.819866602044826,38.18030156423937,49.674181320809446,49.674181320809446
ViT MAE,57.453437651457456,45.10475277616848,44.51237397923383,57.453437651457456
